model,cv_roc_auc,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc
LogisticRegression,0.6572397779161477,0.7142857142857143,0.7213114754098361,0.9565217391304348,0.822429906542056,0.7155355249204666
GradientBoosting,0.6360252375663334,0.706766917293233,0.7304347826086957,0.9130434782608695,0.8115942028985508,0.6882290562036056
RandomForest,0.6654564667407132,0.7218045112781954,0.72,0.9782608695652174,0.8294930875576036,0.6831919406150584
